Name,RA,DEC
TIC198187049,16.381931,61.694836
TIC198211976,16.555552,63.524496
TIC198360694,17.106745,57.661033
TIC198456933,17.455784,58.214352
TIC198485881,12.982641,77.661716
TIC198588220,17.107382,44.776885
TIC20203297,15.097976,39.636553
TIC202426247,15.097115,64.047682
TIC207425203,16.194624,58.477001
TIC207501148,16.510475,56.399869
TIC21744120,17.089758,33.012325
TIC21832928,17.132120,32.105303
TIC219436394,13.706231,76.647981
TIC219462190,13.870197,75.165261
TIC219466784,13.990561,74.151228
TIC219501568,16.304280,42.62706
TIC219508169,16.453151,42.687767
TIC219762508,17.507018,63.123014
TIC219778329,17.590138,64.380132
TIC219821826,17.868636,62.79094
TIC219879302,17.408630,67.989121
TIC224298134,12.355880,57.752364
TIC229490898,19.750487,64.791904
TIC229586455,18.091235,75.145628
TIC229608594,18.300804,74.466535
TIC229715760,18.599302,70.160757
TIC229787062,18.934845,70.25412
TIC229791084,18.962927,69.570837
TIC229888286,15.074434,28.215715
TIC230001847,19.374660,60.853904
TIC230075227,16.291797,68.894664
TIC230087585,16.475042,69.030975
TIC230375747,19.001378,63.42983
TIC230386397,19.052401,64.230256
TIC230387153,19.061446,65.785672
TIC23059280,18.276264,34.173012
TIC232568235,16.511133,49.046789
TIC232641326,18.763281,56.381701
TIC233047097,17.910727,60.356411
TIC233066156,18.018507,61.347153
TIC233068569,18.037206,63.54963
TIC233078665,18.107459,62.176751
TIC233182695,14.602892,68.940695
TIC233497719,16.634666,77.756401
TIC233500935,16.715993,76.449587
TIC233633993,18.984516,60.154455
TIC233680651,17.353537,63.239282
TIC233688779,18.359573,62.369002
TIC233721037,18.426270,64.636881
TIC235678745,19.042435,75.418514
TIC235937532,19.594307,81.554791
TIC235943205,19.728516,78.725919
TIC236312126,16.036618,28.169625
TIC236934268,20.284442,65.153844
TIC236934937,20.286604,65.871559
TIC237071229,20.468183,61.871411
TIC237201858,19.521554,72.538317
TIC237211410,19.625070,74.78231
TIC23814735,14.002974,38.705641
TIC243313296,19.300889,56.236779
TIC243335710,19.324107,59.670112
TIC255930614,16.508199,38.347535
TIC258389327,19.780686,70.071943
TIC258510872,20.311015,66.155954
TIC262880065,15.021046,40.946827
TIC264171144,19.626011,66.971432
TIC264303333,19.757000,67.310971
TIC264544388,21.762559,79.613939
TIC265146266,21.126180,74.383252
TIC265460043,23.990207,68.384119
TIC26547036,19.477796,53.487369
TIC268823307,19.960469,44.035039
TIC270515566,17.630269,47.230289
TIC272679240,15.634153,69.017531
TIC27491137,14.492801,39.790399
TIC27848472,18.575449,35.661431
TIC280031353,19.827746,68.883354
TIC283829553,15.237908,51.468846
TIC284361752,19.207238,54.640427
TIC284477310,19.408398,56.881296
TIC284564230,19.434935,58.510182
TIC285542903,0.884670,60.618112
TIC288516853,18.233154,80.658462
TIC288636599,18.649633,79.23835
TIC289164482,18.497287,40.541412
TIC289590465,16.896186,65.293961
TIC298164705,14.622561,56.666184
TIC298663873,18.529575,56.650679
TIC308172249,17.818992,29.879043
TIC310231275,15.985851,32.395973
TIC314835525,23.127321,56.694513
TIC315755496,20.688758,82.435302
TIC316468545,21.593886,65.437536
TIC321668398,17.617535,53.021275
TIC321669174,17.620151,53.025567
TIC321688498,21.439972,68.640531
TIC322062001,21.615924,69.283946
TIC329148988,22.170884,58.706093
TIC334811204,22.113451,63.599044
TIC336128819,18.745090,36.563132
TIC336267424,18.777460,41.56002
TIC341815197,17.820478,54.415932
TIC346929661,0.065170,59.334681
TIC347013211,0.074617,54.934497
TIC356016119,16.942836,70.027316
TIC356700488,16.963710,68.699581
TIC357501308,15.322496,29.207877
TIC362220495,19.081864,79.755949
TIC367739494,16.692199,80.04588
TIC367855829,18.457876,73.264575
TIC368287008,15.475510,27.361073
TIC375850439,22.419669,67.971168
TIC378355116,23.883226,60.481667
TIC389900760,1.567154,65.513988
TIC39200363,17.416255,32.798397
TIC393911494,13.811897,44.911752
TIC393965778,14.169832,45.563868
TIC394029948,18.815309,78.568946
TIC394050135,18.853017,82.245414
TIC395393265,1.755931,77.790123
TIC396356111,0.173304,58.489439
TIC39903405,16.343429,41.04796
TIC399860444,19.120568,49.316421
TIC400430915,19.692148,57.325664
TIC402898317,20.182502,70.869653
TIC403308915,0.346590,55.542814
TIC405559035,15.657420,55.153498
TIC405717754,19.082896,50.040367
TIC405763009,19.962683,56.971091
TIC406855039,18.324701,71.248626
TIC407059875,0.364636,66.168119
TIC417931300,12.418237,60.418346
TIC420645189,3.224695,75.268379
TIC422656370,23.311472,68.299217
TIC427320001,22.923622,70.29729
TIC427730490,23.484982,71.506474
TIC428988981,23.350209,79.441782
TIC441642457,13.992155,58.93291
TIC441738827,17.283636,72.747023
TIC441765914,17.424993,75.88228
TIC441798995,17.609860,77.126216
TIC445254275,0.814410,59.386718
TIC462615350,16.741279,60.086043
